name	ALK_3p.E26E27.ENST00000389048	BRAF_3p.E15E16.ENST00000288602	ERBB4_3p.E25E26.ENST00000342788	FGFR2_3p.E16E17.ENST00000358487	LTK_3p.E17E18.ENST00000263800	MET_3p.E13E14.ENST00000397752	NTRK1_3p.E14E15.ENST00000392302	NTRK3_3p.E16E17.ENST00000394480	RAF1_3p.E15E16.ENST00000251849	RET_3p.E16E17.ENST00000355710	ROS1_3p.E40E41.ENST00000368508	THADA_3p.E36E37.ENST00000415080
R141	0.0005904640062982	0.0056586133936918	0.0008856960094474	0.0387245977463957	0.0086109334251832	0.0145647788220243	0.0	0.0	0.0758746248093293	0.1452541455493775	0.0	0.1481572602470107
R142	0.0068667240601812	0.0302238347066781	0.014379125158857	0.0572295330627639	0.1052761038002705	0.1818452014922313	0.0013528471282745	0.0002767187307834	0.7917640306645349	0.1501967777641126	0.0014245890214405	0.0624666912638871
R143	0.0012212605532841	0.0074868581744809	0.0005309828492539	0.0444432644825572	0.0019115382573142	0.0627621727818191	0.0	0.0002123931397015	0.1232942175967716	0.0243721127807571	0.0012743588382095	0.0683905909839112
R144	0.0410788381742738	0.206342620035566	0.0525192649673977	0.1595139300533491	0.0021339656194427	0.9764078245406046	0.0092471843509187	0.0186721991701244	1.0980438648488442	0.2725548310610551	0.0016597510373443	0.1665678719620628
R146	0.0038173269400865	0.0363887466443213	0.0191021522896202	0.107723104138541	0.114131868472914	0.4428409602284189	0.0002172462486228	0.0007758794593671	1.0077432770044843	0.2701612277516565	0.0	0.051720124761417
R147	0.0033612626656274	0.0372012210963886	0.0356586126266562	0.0601617303195635	0.0357885164977916	0.2959372564302416	0.0002598077422707	0.0002598077422707	1.1222882566900494	0.0469277734476487	0.0126006755001299	0.0876039230969082
R156	0.0366019245528071	0.6787885943680264	0.0	0.0954011452860263	0.0	6.887301493594663	0.0195997402444064	0.0	2.8805714623059213	0.53669047759608	0.0009445657949111	0.0292815396422457
R157	0.0	0.0043249922767995	0.0012357120790855	0.1277417361754711	0.0080321285140562	0.0312017299969107	0.0117392647513129	0.0024714241581711	0.0971578622181031	0.3253012048192771	0.0012357120790855	0.0556070435588507
R159	0.0672909326905247	0.0341924717226033	0.0528462822176896	0.1019655108473947	0.2205636936769887	0.1550528462822177	0.0109771926571481	0.0213053958835527	0.7132208418320044	0.1720192842573706	0.0738364546634526	0.1097533840163174
R160	0.0147113718808924	0.0093704834556888	0.0085856217157843	0.0379605080544043	0.0836069182690927	0.037606363122984	0.0003350019621543	0.0005934320472448	0.362682695712932	0.1349005044172401	0.0044603118389693	0.0610947864123204
